"","V1","V2","V3"
"591",375,630,5155
"592",7270,6831,7185
"593",1869,7184,9592
"594",571,9590,539
"595",11834,12821,12929
"596",7312,612,7305
"597",7281,7309,614
"598",7317,7282,7289
"599",9880,7283,2021
"600",2019,7284,617
"601",10875,8920,11912
"602",877,4992,3661
"603",1996,7290,7291
"604",7070,7292,7297
"605",6095,628,10441
"606",647,620,6095
"607",7277,7297,609
"608",611,6094,616
"609",607,7298,7299
"610",10741,7300,612
"611",2533,6631,608
"612",610,7303,596
"613",7304,7305,7315
"614",7308,597,7310
"615",7309,7283,7284
"616",10828,608,10834
"617",600,7299,7313
"618",7310,7314,7306
"619",620,6093,628
"620",606,635,619
"621",7319,979,5199
"622",8662,7321,1426
"623",10389,5199,9917
"624",7322,7323,7066
"625",7325,7065,479
"626",8196,7326,1126
"627",7327,7438,7328
"628",605,619,5154
"629",3092,7277,7330
"630",6091,6092,591
"631",1262,6082,6092
"632",7336,689,2018
"633",7337,7338,9880
"634",638,6091,375
"635",620,8932,638
"636",9631,9612,7343
"637",1886,7344,7349
"638",6093,635,634
"639",7431,7394,7347
"640",11484,13897,1986
"641",1887,7349,1885
"642",9600,7350,10302
"643",1485,1998,783
"644",7356,731,12672
"645",7359,849,7425
"646",10840,10446,6090
"647",2539,6090,606
"648",679,681,652
"649",6089,6019,10254
"650",1110,1117,7369
"651",679,1112,7423
"652",7369,648,7366
"653",10836,1253,6089
"654",7428,8176,7373
"655",10837,6089,10446
"656",811,5039,937
"657",7378,7374,8172
"658",1268,1238,722
"659",7382,7383,1882
"660",7434,7385,1126
"661",1247,1303,6087
"662",9634,6817,9627
"663",1331,6087,1234
"664",6086,6015,1282
"665",7394,7342,7344
"666",10373,6818,7400
"667",6031,1338,6085
"668",8688,7400,2215
"669",1518,6085,1543
"670",7737,2215,8678
"671",7406,676,2217
"672",1558,6084,6094
"673",3840,4242,12344
"674",12154,4675,127
"675",7417,7419,10263
"676",671,9637,7401
"677",7418,7420,10249
"678",693,8180,682
"679",8185,651,648
"680",7423,7367,8187
"681",648,7424,7425
"682",678,8185,1115
"683",8181,8191,7427
"684",8190,7428,1028
"685",8193,7430,1123
"686",1888,1889,9624
"687",8177,8194,7386
"688",9624,7434,7435
"689",632,7435,7436
"690",7437,7074,7330
"691",7438,7439,7440
"692",7442,693,7443
"693",692,678,1113
"694",1875,7432,7336
"695",8133,7444,8135
"696",4343,6792,7445
"697",7445,10682,4489
"698",5038,5032,12816
"699",7451,10747,7448
"700",703,705,4352
"701",547,5868,5017
"702",7450,3626,7454
"703",6967,704,700
"704",703,12014,7455
"705",700,409,7451
"706",1504,6083,6625
"707",711,12633,7462
"708",7460,7461,709
"709",7462,708,7466
"710",7545,7544,7463
"711",7464,707,12634
"712",7465,7466,12071
"713",1555,1475,5121
"714",7471,10679,10635
"715",718,7473,7474
"716",7475,717,6920
"717",716,4377,11099
"718",4377,6794,715
"719",7478,4373,11084
"720",5208,1302,1099
"721",7481,6913,376
"722",6082,658,1099
"723",7486,7487,11079
"724",7489,4374,398
"725",6015,1252,6081
"726",7493,8162,7492
"727",8162,7141,522
"728",7494,7140,527
"729",7102,10856,7495
"730",10101,7499,7131
"731",8144,644,1092
"732",7356,8136,733
"733",7500,732,734
"734",7503,733,6939
"735",7505,7509,7504
"736",7507,7718,7515
"737",7508,1094,8148
"738",7509,7511,389
"739",7513,4458,7512
"740",1128,7514,8152
"741",7514,7106,501
"742",7517,6907,1456
"743",8735,6949,6918
"744",6898,369,7519
"745",374,6918,7520
"746",7186,7522,7523
"747",7524,1466,8717
"748",7528,7538,12592
"749",536,5017,2063
"750",6025,12570,1249
"751",1457,12144,7534
"752",7535,7527,7537
"753",7537,7526,7536
"754",7539,7484,7538
"755",2752,5121,783
"756",7542,7544,384
"757",1455,7524,7463
"758",4255,5164,9365
"759",832,7547,7548
"760",761,779,6073
"761",6077,3757,760
"762",4193,4358,767
"763",7557,7558,7021
"764",7560,831,7571
"765",766,6076,767
"766",4360,6078,765
"767",762,765,7728
"768",7569,5588,831
"769",7571,7687,7570
"770",7572,7573,7554
"771",7562,7574,7575
"772",5733,809,12820
"773",7752,7689,7579
"774",775,11116,3953
"775",5859,774,6073
"776",7589,8129,6559
"777",6078,6077,6073
"778",5831,131,5015
"779",760,6072,11113
"780",7594,812,789
"781",6072,3190,2680
"782",829,7652,6620
"783",5123,643,755
"784",1036,1870,562
"785",85,7609,4223
"786",7610,7613,6724
"787",6654,7612,7613
"788",6724,7676,9226
"789",780,7614,7615
"790",7609,7616,6594
"791",63,11655,2852
"792",8121,7619,8508
"793",7001,8478,7620
"794",798,817,7621
"795",1324,7620,7622
"796",4276,6071,3190
"797",6069,4244,6070
"798",7627,794,7626
"799",8557,1350,1383
"800",803,6070,3757
"801",7631,8120,7633
"802",905,14062,14068
"803",6069,800,3139
"804",11119,11086,5838
"805",9220,7637,7639
"806",3365,5590,7645
"807",828,4989,1500
"808",7594,7645,824
"809",14094,772,5736
"810",6998,7647,7648
"811",656,848,5060
"812",7652,780,7596
"813",7653,8119,7674
"814",876,11112,6062
"815",7658,1353,7669
"816",7660,8560,7624
"817",7661,1360,794
"818",7664,7624,7627
"819",7667,6778,7672
"820",2991,856,918
"821",12434,7279,7606
"822",5579,1062,1358
"823",7673,5578,7199
"824",808,8090,7596
"825",7596,7674,7675
"826",876,13238,833
"827",11721,11722,5117
"828",1521,4004,807
"829",7599,7681,782
"830",7683,6703,7666
"831",7685,768,764
"832",7686,759,7687
"833",6064,826,11119
"834",11112,6064,837
"835",7693,516,7692
"836",13257,7694,842
"837",5859,834,11116
"838",8594,7699,8008
"839",852,6063,855
"840",8167,7702,7694
"841",7702,7700,516
"842",836,516,7695
"843",7150,7702,1105
"844",8166,8197,7704
"845",8197,7705,1106
"846",7993,7706,7995
"847",7707,7708,7364
"848",5013,12822,811
"849",645,7712,1119
"850",11395,7713,4450
"851",6934,7714,7715
"852",11145,3265,839
"853",4458,8203,382
"854",7512,6927,7719
"855",3200,839,3188
"856",11719,5117,820
"857",7725,4088,4111
"858",10672,7726,7727
"859",860,5116,874
"860",13012,11720,859
"861",3292,7733,3315
"862",5857,6062,2680
"863",12820,12824,5012
"864",994,7739,6775
"865",12476,2384,5165
"866",7742,7743,994
"867",6404,7744,1016
"868",7745,7746,3309
"869",5560,7026,7747
"870",7749,7750,7767
"871",7753,7685,1021
"872",7576,7765,7754
"873",7577,7758,7761
"874",11567,859,2993
"875",7766,7555,1079
"876",814,2594,826
"877",1497,4970,602
"878",879,6060,882
"879",11142,2690,878
"880",4428,11510,7775
"881",4320,10490,14084
"882",948,878,3265
"883",7782,7880,7882
"884",4434,11610,898
"885",13281,11725,5115
"886",7836,11465,7786
"887",6059,8155,2694
"888",5114,13289,5073
"889",6371,897,893
"890",6056,4632,6059
"891",8155,6058,8310
"892",7798,11614,3879
"893",7801,889,7796
"894",7803,7796,7802
"895",7806,5557,8078
"896",7771,7807,7808
"897",889,12747,7794
"898",884,12747,7812
"899",7852,7813,7894
"900",7815,7892,7814
"901",11445,4453,7816
"902",7821,5313,5342
"903",2985,11654,5114
"904",14050,4004,1547
"905",4004,802,4989
"906",918,5113,923
"907",12957,1567,4986
"908",7846,7849,8075
"909",7847,8077,7891
"910",7849,7081,7848
"911",7081,1135,7850
"912",8212,7850,1138
"913",7851,7852,7815
"914",12958,4986,1547
"915",1044,1030,1029
"916",7859,488,8221
"917",7860,7861,1046
"918",820,11723,906
"919",7099,492,7101
"920",7127,7865,7866
"921",7121,7114,7867
"922",505,7878,507
"923",11734,906,13280
"924",10042,7870,7095
"925",7870,1143,1142
"926",7095,7872,7861
"927",930,7094,1047
"928",7869,7860,7873
"929",8060,7873,1046
"930",508,927,7122
"931",1047,1045,7874
"932",7876,7112,7875
"933",577,942,2147
"934",8983,7878,506
"935",5549,7879,7781
"936",5548,8068,5547
"937",11378,5012,656
"938",7883,7884,6739
"939",7882,7887,7888
"940",8985,6057,944
"941",11408,7890,7891
"942",933,4985,2143
"943",1055,7894,8078
"944",3207,940,4632
"945",5751,7897,7900
"946",7897,5752,5750
"947",7900,7898,7899
"948",882,11145,949
"949",2692,948,6056
"950",6054,6051,6053
"951",8290,1978,1980
"952",5941,5940,7906
"953",7907,1184,7927
"954",5791,5750,5766
"955",2852,5157,5160
"956",5959,5964,7913
"957",7913,1946,7914
"958",1146,7915,7916
"959",10360,8292,7917
"960",972,6054,11627
"961",7925,7918,7924
"962",2297,10404,7926
"963",10346,456,7927
"964",6053,4086,7775
"965",8582,1371,4743
"966",8586,6991,6986
"967",1397,7932,8621
"968",13427,8402,8434
